id,state
CA001033455,BC
CA001033456,BC
CA001033460,BC
CA001033479,BC
CA001033480,BC
CA001033483,BC
CA001033485,BC
CA001034070,BC
CA001034170,BC
CA001034175,BC
CA001034440,BC
CA001034600,BC
CA001034725,BC
CA001035610,BC
CA001035612,BC
CA001035614,BC
CA001035940,BC
CA001036205,BC
CA001036206,BC
CA001036207,BC
CA001036208,BC
CA001036210,BC
CA001036218,BC
CA001036240,BC
CA001036243,BC
CA001036570,BC
CA001036572,BC
CA001036907,BC
CA001036B06,BC
CA001037090,BC
CA001037553,BC
CA001037650,BC
CA001037890,BC
CA001037899,BC
CA001038205,BC
CA001038206,BC
CA001038207,BC
CA001038240,BC
CA001038330,BC
CA001038331,BC
CA001038332,BC
CA001038964,BC
CA001039030,BC
CA001039035,BC
CA001039040,BC
CA00103EFJ0,BC
CA001040390,BC
CA001040400,BC
CA001040420,BC
CA001040445,BC
CA001040908,BC
CA001040909,BC
CA00104090R,BC
CA001040911,BC
CA00104091A,BC
CA00104091B,BC
CA001040R09,BC
CA001040R1J,BC
CA001041050,BC
CA001041100,BC
CA001041380,BC
CA001041490,BC
CA001041710,BC
CA001042255,BC
CA001042470,BC
CA001043048,BC
CA001043060,BC
CA001043150,BC
CA001043152,BC
CA001043320,BC
CA001043321,BC
CA0010433B0,BC
CA001043504,BC
CA001043582,BC
CA001043722,BC
CA001044680,BC
CA001044710,BC
CA001044732,BC
CA001044840,BC
CA001045100,BC
CA001045440,BC
CA001045960,BC
CA0010459NN,BC
CA001046115,BC
CA001046330,BC
CA001046332,BC
CA001046360,BC
CA001046390,BC
CA001046391,BC
CA001046392,BC
CA001046400,BC
CA001046410,BC
CA001046791,BC
CA001046795,BC
CA001047170,BC
CA001047172,BC
CA001047176,BC
CA001047179,BC
CA001047660,BC
CA001047662,BC
CA001047669,BC
CA001047670,BC
CA001047671,BC
CA001047672,BC
CA001047673,BC
CA0010476F0,BC
CA001047770,BC
CA001047F6B,BC
CA001048140,BC
CA001048310,BC
CA001048816,BC
CA001048898,BC
CA001048974,BC
CA001048975,BC
CA00104LC3N,BC
CA00104PF64,BC
CA001051350,BC
CA001051351,BC
CA001051630,BC
CA001052310,BC
CA001053608,BC
CA001053645,BC
CA001054500,BC
CA001054503,BC
CA001054920,BC
CA001054925,BC
CA001054926,BC
CA0010549BN,BC
CA001054RKF,BC
CA0010551R8,BC
CA001055950,BC
CA001056250,BC
CA001056590,BC
CA001056742,BC
CA001056869,BC
CA001057050,BC
CA001057052,BC
CA001057055,BC
CA001057133,BC
CA001057192,BC
CA001058003,BC
CA001058190,BC
CA00105PA91,BC
CA001060080,BC
CA001060330,BC
CA001060331,BC
CA001060446,BC
CA001060810,BC
CA001060811,BC
CA001060815,BC
CA001060820,BC
CA001060840,BC
CA001060841,BC
CA001060842,BC
CA001060901,BC
CA001060902,BC
CA001060R0K,BC
CA001061210,BC
CA001061458,BC
CA001062251,BC
CA001062295,BC
CA001062544,BC
CA001062593,BC
CA001062646,BC
CA001062745,BC
CA001062790,BC
CA001063086,BC
CA001063298,BC
CA001063303,BC
CA001063339,BC
CA001063461,BC
CA001063496,BC
CA001063690,BC
CA001064020,BC
CA001064138,BC
CA001064227,BC
CA001064288,BC
CA001064289,BC
CA001064290,BC
CA001064320,BC
CA001064321,BC
CA001064322,BC
CA001064329,BC
CA001064375,BC
CA001064497,BC
CA001064591,BC
CA001064728,BC
CA001065010,BC
CA001065130,BC
CA001065170,BC
CA001065275,BC
CA001065310,BC
CA001065670,BC
CA001065945,BC
CA001066202,BC
CA001066336,BC
CA001066420,BC
CA001066480,BC
CA001066481,BC
CA001066482,BC
CA001066483,BC
CA001066484,BC
CA001066488,BC
CA001066492,BC
CA001066493,BC
CA001066787,BC
CA001066788,BC
